policy_id,reference_policy_id,metric,paired_mean_difference,paired_median_difference,bootstrap_ci_low,bootstrap_ci_high,win_share,tie_share,loss_share
observed_financial__final_model,always_0pct,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__final_model,observed_financial__checkpoint_22288,episode_return,0.032727705391970764,0.028657485563978485,0.02655407170578706,0.03906492647385036,0.95,0.05,0.0
observed_financial__final_model,observed_financial__checkpoint_22288,normalized_accounting_profit,0.03272770539197073,0.028657485563978458,0.02659818009744193,0.03886479051335793,0.95,0.05,0.0
observed_financial__final_model,observed_financial__checkpoint_22288,raw_accounting_profit,0.1103509289386223,0.03567541320344114,0.05029926596997726,0.20695416290653265,0.95,0.05,0.0
observed_financial__final_model,observed_financial__checkpoint_22288,revenue,0.11035092893862233,0.03567541320344114,0.04693976576214968,0.2007002830584886,0.95,0.05,0.0
observed_financial__final_model,observed_financial__checkpoint_22288,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__final_model,observed_financial__checkpoint_22288,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__final_model,observed_financial__checkpoint_22288,sell_through_rate,-1.1102230246251566e-17,0.0,-3.3306690738754695e-17,0.0,0.0,0.95,0.05
observed_financial__final_model,observed_financial__checkpoint_22288,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__final_model,observed_financial__checkpoint_22288,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_policy,always_0pct,episode_return,-0.21056507074943487,-0.2327328760755006,-0.24943373101745095,-0.1740870672694653,0.0,0.0,1.0
random_policy,always_0pct,normalized_accounting_profit,-0.21056507074943487,-0.23273287607550064,-0.25182351864354774,-0.17164009370308578,0.0,0.0,1.0
random_policy,always_0pct,raw_accounting_profit,-0.6609285813428599,-0.4397957158191933,-1.0365349858981165,-0.40999204081764584,0.0,0.0,1.0
random_policy,always_0pct,revenue,-0.6609285813428599,-0.4397957158191933,-0.9650641941454116,-0.3959997239790211,0.0,0.0,1.0
random_policy,always_0pct,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_policy,always_0pct,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_policy,always_0pct,sell_through_rate,2.2204460492503132e-17,0.0,-5.551115123125783e-18,6.106226635438361e-17,0.15,0.8,0.05
random_policy,always_0pct,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
random_policy,always_0pct,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__best_model,always_0pct,episode_return,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__best_model,always_0pct,normalized_accounting_profit,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__best_model,always_0pct,raw_accounting_profit,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__best_model,always_0pct,revenue,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__best_model,always_0pct,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__best_model,always_0pct,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__best_model,always_0pct,sell_through_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__best_model,always_0pct,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__best_model,always_0pct,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
recovered_financial__best_model,recovered_financial__checkpoint_22288,episode_return,0.013171216087553431,0.008059911722747892,0.007146458548392664,0.018982869803484383,0.5,0.5,0.0
