episode_id,scenario_id,calibration_mode,episode_index,policy_id,normalized_profit,total_revenue,total_procurement_cost,total_disposal_cost,terminal_value,units_sold,units_expired,waste_rate,sell_through,average_markdown,number_of_markdown_changes,action_sequence,action_entropy,episode_length,runtime_seconds,candidate_sequences_evaluated,planning_horizon,reset_seed,deterministic_demand,initial_inventory,starting_age_profile_signature,episode_horizon,episode_conservation_error,raw_financial_sum_error
core_005__recovered_calibration__episode_02,core_005,recovered_calibration,2,limited_horizon_planning_policy,0.3253026440151338,1.3711706164385458,0.8579199737274122,0.005825850334913049,0.0,1.4433374909879428,0.11651700669826098,0.07469735598486618,0.9253026440151337,,0,1|1|1,-0.0,3,24.374877499998547,258,3.0,20002,True,,,3.0,5.551115123125783e-17,0.0
core_005__recovered_calibration__episode_03,core_005,recovered_calibration,3,always_0pct,0.356760202095313,1.4213397185195575,0.8579199737274122,0.006925738958332312,0.0,1.4213397185195575,0.13851477916664623,0.08879980752827324,0.9112001924717267,,0,0|0|0,-0.0,3,0.059534600004553795,0,,20003,True,,,3.0,1.1102230246251565e-16,0.0
core_005__recovered_calibration__episode_03,core_005,recovered_calibration,3,limited_horizon_planning_policy,0.36089277376080814,1.4239102691977201,0.8579199737274122,0.003050079137061762,0.0,1.4988529149449685,0.06100158274123524,0.039107226239191786,0.9608927737608082,,0,1|1|1,-0.0,3,26.62492299999576,258,3.0,20003,True,,,3.0,1.1102230246251565e-16,0.0
core_006__recovered_calibration__episode_00,core_006,recovered_calibration,0,always_0pct,0.44999999999999996,3.1197089953724078,1.7158399474548245,0.0,0.0,3.1197089953724078,0.0,0.0,1.0,,0,0|0|0,-0.0,3,0.05909850000170991,0,,20000,True,,,3.0,0.0,0.0
core_006__recovered_calibration__episode_00,core_006,recovered_calibration,0,limited_horizon_planning_policy,0.44999999999999996,3.1197089953724078,1.7158399474548245,0.0,0.0,3.1197089953724078,0.0,0.0,1.0,,0,0|0|0,-0.0,3,19.150463600002695,258,3.0,20000,True,,,3.0,0.0,0.0
core_006__recovered_calibration__episode_01,core_006,recovered_calibration,1,always_0pct,-0.15219932794739763,1.3304836045107749,1.7158399474548245,0.08946126954308165,0.0,1.3304836045107749,1.789225390861633,0.5735231694737118,0.4264768305262881,,0,0|0|0,-0.0,3,0.06499410001561046,0,,20001,True,,,3.0,0.0,0.0
core_006__recovered_calibration__episode_01,core_006,recovered_calibration,1,limited_horizon_planning_policy,-0.0647642414550395,1.5413352097640192,1.7158399474548245,0.027540848954952103,0.0,2.5688920162733657,0.550816979099042,0.17656037146929135,0.8234396285307086,,0,5|5|5,-0.0,3,24.333307900000364,258,3.0,20001,True,,,3.0,0.0,0.0
core_006__recovered_calibration__episode_02,core_006,recovered_calibration,2,always_0pct,-0.1358956767616695,1.3789242209503272,1.7158399474548245,0.08703923872110403,0.0,1.3789242209503272,1.7407847744220806,0.5579958826301613,0.4420041173698387,,0,0|0|0,-0.0,3,0.05822070001158863,0,,20002,True,,,3.0,0.0,5.551115123125783e-17
core_006__recovered_calibration__episode_02,core_006,recovered_calibration,2,limited_horizon_planning_policy,-0.06568123481319886,1.538694515214961,1.7158399474548245,0.0277609068340403,0.0,2.5644908586916015,0.555218136680806,0.17797113048184424,0.8220288695181557,,0,5|5|5,-0.0,3,27.43710920002195,258,3.0,20002,True,,,3.0,2.220446049250313e-16,0.0
core_006__recovered_calibration__episode_03,core_006,recovered_calibration,3,always_0pct,-0.11493563925180866,1.441199666248285,1.7158399474548245,0.08392546645620613,0.0,1.441199666248285,1.6785093291241227,0.5380339421445797,0.4619660578554204,,0,0|0|0,-0.0,3,0.056737100007012486,0,,20003,True,,,3.0,0.0,5.551115123125783e-17
core_006__recovered_calibration__episode_03,core_006,recovered_calibration,3,limited_horizon_planning_policy,-0.0637690116267885,1.5610151674306614,1.7158399474548245,0.04411597917393664,0.0,2.237389411893675,0.8823195834787327,0.28282111722199527,0.7171788827780048,,1,5|5|0,0.6365141682948128,3,24.745525299978908,258,3.0,20003,True,,,3.0,0.0,0.0
core_006__recovered_calibration__episode_05,core_006,recovered_calibration,5,always_0pct,0.07844600142737151,2.0157658033594403,1.7158399474548245,0.05519715960064836,0.0,2.0157658033594403,1.1039431920129672,0.35386095102155085,0.6461390489784491,,0,0|0|0,-0.0,3,0.06537120000575669,0,,20005,True,,,3.0,2.220446049250313e-16,0.0
core_006__recovered_calibration__episode_05,core_006,recovered_calibration,5,limited_horizon_planning_policy,0.12649431434498115,2.1379277555442666,1.7158399474548245,0.02746235776393964,0.0,2.570461840093615,0.5492471552787928,0.17605717587554273,0.8239428241244573,,1,5|1|1,0.6365141682948128,3,32.35029130001203,258,3.0,20005,True,,,3.0,0.0,0.0
core_006__recovered_calibration__episode_06,core_006,recovered_calibration,6,always_0pct,0.09971259646932643,2.078952077505468,1.7158399474548245,0.05203784589334698,0.0,2.078952077505468,1.0407569178669396,0.33360705098159377,0.6663929490184062,,0,0|0|0,-0.0,3,0.07047800000873394,0,,20006,True,,,3.0,2.220446049250313e-16,0.0
core_006__recovered_calibration__episode_06,core_006,recovered_calibration,6,limited_horizon_planning_policy,0.11032394556658583,2.106659107000013,1.7158399474548245,0.0466405541561347,0.0,2.186897912249714,0.9328110831226939,0.29900579974169733,0.7009942002583027,,1,1|1|0,0.6365141682948128,3,27.362407600012375,258,3.0,20006,True,,,3.0,2.220446049250313e-16,0.0
core_006__recovered_calibration__episode_07,core_006,recovered_calibration,7,always_0pct,0.05266028067931511,1.9391525224357524,1.7158399474548245,0.05902782364683277,0.0,1.9391525224357524,1.1805564729366553,0.3784187803054141,0.6215812196945859,,0,0|0|0,-0.0,3,0.0654445999825839,0,,20007,True,,,3.0,0.0,0.0
core_006__recovered_calibration__episode_07,core_006,recovered_calibration,7,limited_horizon_planning_policy,0.062492071420547614,1.966363551142936,1.7158399474548245,0.05556652633797429,0.0,2.0083784686129222,1.1113305267594857,0.3562289073782099,0.6437710926217901,,1,1|0|0,0.6365141682948128,3,25.559900799999014,258,3.0,20007,True,,,3.0,2.220446049250313e-16,0.0
core_009__recovered_calibration__episode_01,core_009,recovered_calibration,1,always_0pct,0.448760645657286,3.116026685952009,1.7158399474548245,0.00018411547101992166,0.0,3.116026685952009,0.003682309420398433,0.0011803374692513158,0.9988196625307486,,0,0|0|0|0|0|0|0,-0.0,7,0.22163479999289848,0,,20001,True,,,7.0,1.6653345369377348e-16,0.0
core_009__recovered_calibration__episode_01,core_009,recovered_calibration,1,limited_horizon_planning_policy,0.23059904826972066,2.4352418726661877,1.7158399474548245,0.0,0.0,3.1197089953724078,0.0,0.0,1.0,,1,5|5|0|0|0,0.6730116670092565,5,83.6529127000249,1080,3.0,20001,True,,,7.0,0.0,0.0
core_012__recovered_calibration__episode_01,core_012,recovered_calibration,1,always_0pct,0.448760645657286,3.116026685952009,1.7158399474548245,0.00018411547101992166,0.0,3.116026685952009,0.003682309420398433,0.0011803374692513158,0.9988196625307486,,0,0|0|0|0|0|0|0,-0.0,7,0.12691270001232624,0,,20001,True,,,7.0,1.6653345369377348e-16,0.0
core_012__recovered_calibration__episode_01,core_012,recovered_calibration,1,limited_horizon_planning_policy,0.23059904826972066,2.4352418726661877,1.7158399474548245,0.0,0.0,3.1197089953724078,0.0,0.0,1.0,,1,5|5|0|0|0,0.6730116670092565,5,90.58001639999566,1080,3.0,20001,True,,,7.0,0.0,0.0
