scenario_id,policy_id,policy_kind,calibration_mode,training_calibration_mode,cross_scenario_policy_evaluation,cross_calibration_policy_evaluation,episode_index,episode_id,shelf_life_class,inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,normalized_episode_return,normalized_accounting_profit,raw_accounting_profit,revenue,procurement_cost,disposal_cost,physical_waste_units,waste_rate,sell_through_rate,stockout_rate,average_markdown,maximum_markdown,first_markdown_day,terminal_inventory,episode_length,initial_inventory,action_entropy,episode_conservation_error,raw_financial_sum_error,action_0_share,action_1_share,action_2_share,action_3_share,action_4_share,action_5_share
core_002,always_40pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,0,core_002__recovered_calibration__episode_00,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.049999999999999926,0.049999999999999926,0.07799272488431008,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,1.0,0.4,0.4,0,0.0,1,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
core_002,always_40pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,1,core_002__recovered_calibration__episode_01,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.049999999999999906,0.049999999999999926,0.07799272488431008,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,0.5,0.4,0.4,0,0.0,2,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
core_002,always_40pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,2,core_002__recovered_calibration__episode_02,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.04999999999999988,0.04999999999999989,0.07799272488431003,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,0.5,0.4,0.4,0,0.0,2,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
core_002,always_40pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,3,core_002__recovered_calibration__episode_03,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.049999999999999906,0.04999999999999989,0.07799272488431003,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,0.5,0.4,0.4,0,0.0,2,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
core_002,always_40pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,4,core_002__recovered_calibration__episode_04,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.04999999999999993,0.049999999999999926,0.07799272488431008,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,0.5,0.4,0.4,0,0.0,2,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
core_002,always_40pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,5,core_002__recovered_calibration__episode_05,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.049999999999999906,0.04999999999999989,0.07799272488431003,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,0.5,0.4,0.4,0,0.0,2,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
core_002,always_40pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,6,core_002__recovered_calibration__episode_06,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.04999999999999993,0.049999999999999926,0.07799272488431008,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,0.5,0.4,0.4,0,0.0,2,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
core_002,always_40pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,7,core_002__recovered_calibration__episode_07,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.04999999999999993,0.049999999999999926,0.07799272488431008,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,0.5,0.4,0.4,0,0.0,2,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
core_002,expiry_threshold_rule,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,0,core_002__recovered_calibration__episode_00,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.049999999999999926,0.049999999999999926,0.07799272488431008,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,1.0,0.4,0.4,0,0.0,1,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
core_002,expiry_threshold_rule,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,1,core_002__recovered_calibration__episode_01,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.049999999999999906,0.049999999999999926,0.07799272488431008,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,0.5,0.4,0.4,0,0.0,2,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
