state_id,scenario_id,calibration_mode,episode_index,start_day,prefix_actions,reset_seed,deterministic_demand,same_store_product_episode_proxy,same_start_date_proxy,same_scenario,same_calibration_mode,same_initial_inventory_proxy,same_age_profile,same_horizon,same_demand_noise_seed,same_discount_response_model,same_accounting_normalization,action_value_metadata_match,action_values_available_for_all_actions,pairing_status
state_0123,core_009,recovered_calibration,4,3,5|5|5,20004,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0124,core_009,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0125,core_012,observed_calibration,0,0,,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0126,core_012,observed_calibration,0,1,0,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0127,core_012,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0128,core_012,observed_calibration,1,3,0|0|0,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0129,core_012,observed_calibration,2,0,,20002,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0130,core_012,observed_calibration,3,3,0|0|0,20003,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0131,core_012,observed_calibration,3,4,0|0|0|0,20003,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0132,core_012,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0133,core_012,observed_calibration,1,2,3|3,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0134,core_012,observed_calibration,2,3,3|3|3,20002,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0135,core_012,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0136,core_012,observed_calibration,2,1,5,20002,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
